ID,Genome,infraspecific_name,ncbiid,superkingdom,phylum,class,order,family,genus,species
1000562.3,Streptococcus phocae C-4,,1000562,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus phocae
1000568.3,Megasphaera sp. UPII 199-6,,1000568,Bacteria,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera sp. UPII 199-6
1000569.4,Megasphaera sp. UPII 135-E,,1000569,Bacteria,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera sp. UPII 135-E
1000570.8,Streptococcus anginosus SK52 = DSM 20563,,1000570,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus anginosus
1000589.3,Streptococcus dysgalactiae subsp. equisimilis SK1249,,1000589,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus dysgalactiae
1001240.4,Cryobacterium roopkundense RuG17,,1001240,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Cryobacterium,Cryobacterium roopkundense
1001744.3,Streptococcus pneumoniae PT8114,,1001744,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus pneumoniae
1001886.3,Vibrio sp. C7 strain JCM19233,,1001886,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio sp. C7
100225.3,Austwickia chelonae strain DSM 44178,,100225,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Dermatophilaceae,Austwickia,Austwickia chelonae
1002339.3,Psychrobacter sp. 1501(2011),,1002339,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Psychrobacter,Psychrobacter sp. 1501(2011)
1002672.3,Candidatus Pelagibacter sp. IMCC9063,,1002672,Bacteria,Proteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Candidatus Pelagibacter,Candidatus Pelagibacter sp. IMCC9063
1003110.3,Verrucosispora maris strain NRRL B-24793,,1003110,Bacteria,Actinobacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Verrucosispora,Verrucosispora maris
