RF_KO,name,definition,pathways,Share(+),Only_one(+),Neither(+),Share(-),Only_one(-),Neither(-),Num_of_genomes
K18220,"tetM, tetO",ribosomal protection tetracycline resistance protein,,50.91,22.71,26.38,1.15,21.21,77.64,1393
K02257,"COX10, ctaB, cyoE",heme o synthase [EC:2.5.1.141],"{'ko04714': 'Thermogenesis', 'ko00190': 'Oxidative phosphorylation', 'ko00860': 'Porphyrin and chlorophyll metabolism', 'ko01110': 'Biosynthesis of secondary metabolites', 'ko01100': 'Metabolic pathways'}",15.22,3.44,81.34,42.52,45.49,11.99,8128
K02275,"coxB, ctaC",cytochrome c oxidase subunit II [EC:1.9.3.1],"{'ko00190': 'Oxidative phosphorylation', 'ko01100': 'Metabolic pathways'}",11.4,4.28,84.32,35.15,48.89,15.96,7505
K02274,"coxA, ctaD",cytochrome c oxidase subunit I [EC:1.9.3.1],"{'ko00190': 'Oxidative phosphorylation', 'ko01100': 'Metabolic pathways'}",11.4,4.31,84.29,36.06,48.46,15.48,7620
K00164,"OGDH, sucA",2-oxoglutarate dehydrogenase E1 component [EC:1.2.4.2],"{'ko00380': 'Tryptophan metabolism', 'ko01120': 'Microbial metabolism in diverse environments', 'ko00020': 'Citrate cycle (TCA cycle)', 'ko01110': 'Biosynthesis of secondary metabolites', 'ko00310': 'Lysine degradation', 'ko01200': 'Carbon metabolism', 'ko01100': 'Metabolic pathways', 'ko01130': 'Biosynthesis of antibiotics'}",14.49,5.89,79.62,41.25,46.19,12.56,8001
K04068,nrdG,anaerobic ribonucleoside-triphosphate reductase activating protein [EC:1.97.1.4],,75.46,10.54,14,10.77,43.96,45.27,3913
K01772,"hemH, FECH",protoporphyrin/coproporphyrin ferrochelatase [EC:4.99.1.1 4.99.1.9],"{'ko00860': 'Porphyrin and chlorophyll metabolism', 'ko01110': 'Biosynthesis of secondary metabolites', 'ko01100': 'Metabolic pathways'}",17.76,10.76,71.48,56.09,37.71,6.2,9340
K00627,"DLAT, aceF, pdhC",pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase) [EC:2.3.1.12],"{'ko01120': 'Microbial metabolism in diverse environments', 'ko00620': 'Pyruvate metabolism', 'ko00010': 'Glycolysis / Gluconeogenesis', 'ko01110': 'Biosynthesis of secondary metabolites', 'ko01130': 'Biosynthesis of antibiotics', 'ko01200': 'Carbon metabolism', 'ko01100': 'Metabolic pathways', 'ko00020': 'Citrate cycle (TCA cycle)'}",20.74,11.9,67.36,58.19,36.43,5.38,9547
K01669,phrB,deoxyribodipyrimidine photo-lyase [EC:4.1.99.3],,10.81,8.88,80.31,32.63,48.84,18.53,7189
K02276,"coxC, ctaE",cytochrome c oxidase subunit III [EC:1.9.3.1],"{'ko00190': 'Oxidative phosphorylation', 'ko01100': 'Metabolic pathways'}",11.21,4.39,84.4,34.48,48.89,16.63,7430
K02259,"COX15, ctaA",cytochrome c oxidase assembly protein subunit 15,"{'ko04714': 'Thermogenesis', 'ko00190': 'Oxidative phosphorylation', 'ko01110': 'Biosynthesis of secondary metabolites', 'ko00860': 'Porphyrin and chlorophyll metabolism', 'ko02020': 'Two-component system', 'ko01100': 'Metabolic pathways'}",11.69,4.41,83.9,35.14,48.64,16.22,7500
K21636,nrdD,ribonucleoside-triphosphate reductase (formate) [EC:1.1.98.6],"{'ko00230': 'Purine metabolism', 'ko00240': 'Pyrimidine metabolism', 'ko01100': 'Metabolic pathways'}",79.43,8.23,12.34,14.84,47.45,37.71,4819
K13628,iscA,iron-sulfur cluster assembly protein,,11.5,3.67,84.83,27.68,49.62,22.7,6445
K01902,sucD,succinyl-CoA synthetase alpha subunit [EC:6.2.1.5],"{'ko01120': 'Microbial metabolism in diverse environments', 'ko00640': 'Propanoate metabolism', 'ko00720': 'Carbon fixation pathways in prokaryotes', 'ko01110': 'Biosynthesis of secondary metabolites', 'ko00020': 'Citrate cycle (TCA cycle)', 'ko01200': 'Carbon metabolism', 'ko01100': 'Metabolic pathways', 'ko01130': 'Biosynthesis of antibiotics', 'ko00660': 'C5-Branched dibasic acid metabolism'}",16.94,12.76,70.3,53.61,39.36,7.03,9262
