genome,taxid,species
GCA_006491855.1,470,Acinetobacter baumannii
GCA_006491875.1,470,Acinetobacter baumannii
GCA_006491885.1,470,Acinetobacter baumannii
GCA_006491955.1,470,Acinetobacter baumannii
GCA_006491965.1,470,Acinetobacter baumannii
GCA_006491975.1,470,Acinetobacter baumannii
GCA_006491985.1,470,Acinetobacter baumannii
GCA_006492055.1,470,Acinetobacter baumannii
GCA_006492065.1,470,Acinetobacter baumannii
GCA_006492075.1,470,Acinetobacter baumannii
GCA_006492085.1,470,Acinetobacter baumannii
GCA_006492125.1,470,Acinetobacter baumannii
GCA_006492155.1,470,Acinetobacter baumannii
GCA_006492165.1,470,Acinetobacter baumannii
GCA_006492175.1,470,Acinetobacter baumannii
GCA_006492195.1,470,Acinetobacter baumannii
GCA_006492215.1,470,Acinetobacter baumannii
GCA_006492245.1,470,Acinetobacter baumannii
GCA_006492265.1,470,Acinetobacter baumannii
GCA_006492295.1,470,Acinetobacter baumannii
GCA_006492305.1,470,Acinetobacter baumannii
GCA_006492315.1,470,Acinetobacter baumannii
GCA_006492335.1,470,Acinetobacter baumannii
GCA_006492375.1,470,Acinetobacter baumannii
GCA_006492385.1,470,Acinetobacter baumannii
GCA_006492395.1,470,Acinetobacter baumannii
GCA_006492405.1,470,Acinetobacter baumannii
GCA_006492425.1,470,Acinetobacter baumannii
GCA_006492475.1,470,Acinetobacter baumannii
GCA_006492495.1,470,Acinetobacter baumannii
GCA_006492505.1,470,Acinetobacter baumannii
GCA_006492515.1,470,Acinetobacter baumannii
GCA_006492525.1,470,Acinetobacter baumannii
GCA_006492575.1,470,Acinetobacter baumannii
GCA_006492585.1,470,Acinetobacter baumannii
GCA_006492615.1,470,Acinetobacter baumannii
GCA_006492625.1,470,Acinetobacter baumannii
GCA_006492635.1,470,Acinetobacter baumannii
GCA_006492675.1,470,Acinetobacter baumannii
GCA_006492685.1,470,Acinetobacter baumannii
GCA_006492705.1,470,Acinetobacter baumannii
GCA_006492715.1,470,Acinetobacter baumannii
GCA_006492735.1,470,Acinetobacter baumannii
GCA_006492775.1,470,Acinetobacter baumannii
GCA_006492785.1,470,Acinetobacter baumannii
GCA_006492805.1,470,Acinetobacter baumannii
GCA_006492855.1,470,Acinetobacter baumannii
GCA_006492865.1,470,Acinetobacter baumannii
GCA_006492885.1,470,Acinetobacter baumannii
GCA_006492905.1,470,Acinetobacter baumannii
GCA_006492925.1,470,Acinetobacter baumannii
GCA_006492945.1,470,Acinetobacter baumannii
GCA_006492965.1,470,Acinetobacter baumannii
GCA_006492985.1,470,Acinetobacter baumannii
GCA_006493005.1,470,Acinetobacter baumannii
GCA_006493035.1,470,Acinetobacter baumannii
GCA_006493045.1,470,Acinetobacter baumannii
GCA_006493645.1,470,Acinetobacter baumannii
GCA_006493655.1,470,Acinetobacter baumannii
GCA_006493685.1,470,Acinetobacter baumannii
GCA_006493705.1,470,Acinetobacter baumannii
GCA_006493735.1,470,Acinetobacter baumannii
GCA_006493745.1,470,Acinetobacter baumannii
GCA_006493755.1,470,Acinetobacter baumannii
GCA_006493765.1,470,Acinetobacter baumannii
GCA_006493815.1,470,Acinetobacter baumannii
GCA_006493835.1,470,Acinetobacter baumannii
GCA_006493855.1,470,Acinetobacter baumannii
GCA_006493875.1,470,Acinetobacter baumannii
GCA_006493915.1,470,Acinetobacter baumannii
GCA_006493925.1,470,Acinetobacter baumannii
GCA_006493945.1,470,Acinetobacter baumannii
GCA_006493955.1,470,Acinetobacter baumannii
GCA_006493975.1,470,Acinetobacter baumannii
GCA_006494005.1,470,Acinetobacter baumannii
GCA_006494055.1,470,Acinetobacter baumannii
GCA_006494065.1,470,Acinetobacter baumannii
GCA_006494075.1,470,Acinetobacter baumannii
GCA_006494085.1,470,Acinetobacter baumannii
GCA_006494115.1,470,Acinetobacter baumannii
GCA_006494155.1,470,Acinetobacter baumannii
GCA_006494165.1,470,Acinetobacter baumannii
GCA_006494175.1,470,Acinetobacter baumannii
GCA_006494215.1,470,Acinetobacter baumannii
GCA_006494225.1,470,Acinetobacter baumannii
GCA_006494255.1,470,Acinetobacter baumannii
GCA_006494265.1,470,Acinetobacter baumannii
GCA_006494285.1,470,Acinetobacter baumannii
GCA_006494305.1,470,Acinetobacter baumannii
GCA_006494565.1,470,Acinetobacter baumannii
GCA_006494575.1,470,Acinetobacter baumannii
GCA_006494585.1,470,Acinetobacter baumannii
GCA_006494615.1,470,Acinetobacter baumannii
GCA_006494665.1,470,Acinetobacter baumannii
GCA_006658565.1,470,Acinetobacter baumannii
GCA_006658595.1,470,Acinetobacter baumannii
1471,562,Escherichia coli
1478,562,Escherichia coli
1549,562,Escherichia coli
1550,562,Escherichia coli
1556,562,Escherichia coli
1557,562,Escherichia coli
1558,562,Escherichia coli
1559,562,Escherichia coli
1561,562,Escherichia coli
1562,562,Escherichia coli
1564,562,Escherichia coli
1567,562,Escherichia coli
1571,562,Escherichia coli
1572,562,Escherichia coli
1578,562,Escherichia coli
1584,562,Escherichia coli
