GCN_KO,name,definition,pathways,Share(+),Only_one(+),Neither(+),Share(-),Only_one(-),Neither(-),Num_of_genomes
K02837,prfC,peptide chain release factor 3,,83.31,13.39,3.3,60.56,34.29,5.15,9585
K00674,dapD,"2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase [EC:2.3.1.117]","{'ko01230': 'Biosynthesis of amino acids', 'ko01100': 'Metabolic pathways', 'ko01120': 'Microbial metabolism in diverse environments', 'ko00300': 'Lysine biosynthesis'}",16.77,21.23,62,44.79,44.79,10.42,8451
K03574,"mutT, NUDT15, MTH2",8-oxo-dGTP diphosphatase [EC:3.6.1.55],,74.1,16.12,9.78,70.23,27.02,2.75,10373
K01533,copB,Cu2+-exporting ATPase [EC:3.6.3.4],,44.45,34.95,20.6,30.33,48.94,20.73,6832
K02781,"PTS-Gut-EIIA, srlB","PTS system, glucitol/sorbitol-specific IIA component [EC:2.7.1.198]","{'ko00051': 'Fructose and mannose metabolism', 'ko02060': 'Phosphotransferase system (PTS)'}",2.3,8.41,89.29,0.48,12.1,87.42,739
K03711,"fur, zur, furB","Fur family transcriptional regulator, ferric uptake regulator",,61,28.53,10.47,72.61,25.34,2.05,10764
K20534,"gtrB, csbB",polyisoprenyl-phosphate glycosyltransferase [EC:2.4.-.-],,11.48,43.58,44.94,11.84,45.54,42.62,4140
K06940,K06940,uncharacterized protein,,29.5,34.07,36.43,9.58,44.07,46.35,3992
K07636,phoR,"two-component system, OmpR family, phosphate regulon sensor histidine kinase PhoR [EC:2.7.13.3]",{'ko02020': 'Two-component system'},52.67,34.38,12.95,44.17,44.84,10.99,8191
K01666,mhpE,4-hydroxy 2-oxovalerate aldolase [EC:4.1.3.39],"{'ko01100': 'Metabolic pathways', 'ko00621': 'Dioxin degradation', 'ko01220': 'Degradation of aromatic compounds', 'ko01120': 'Microbial metabolism in diverse environments', 'ko00362': 'Benzoate degradation', 'ko00360': 'Phenylalanine metabolism', 'ko00622': 'Xylene degradation'}",5.23,26.72,68.05,2.78,27,70.22,2089
K03658,helD,DNA helicase IV [EC:3.6.4.12],,0.88,11.22,87.9,0.29,10.74,88.97,644
K01209,abfA,alpha-N-arabinofuranosidase [EC:3.2.1.55],{'ko00520': 'Amino sugar and nucleotide sugar metabolism'},14.61,40.12,45.27,6.05,36.77,57.18,3074
K07862,sstT,serine/threonine transporter,,8.69,31.58,59.73,2.38,25.39,72.23,1736
K02005,ABC.CD.TX,HlyD family secretion protein,,29.67,43.11,27.22,20.43,49.51,30.06,5534
