KO,Importance,Class,name,description,pathway,brites,Share(+),Only_one(+),Neither(+),Share(-),Only_one(-),Neither(-)
ko:K06200,0.002379748,tetracycline,['cstA'],carbon starvation protein,,,19.22222222,31,49.77777778,47.33333333,18.77777778,33.88888889
ko:K05995,0.002301133,tetracycline,['pepE'],dipeptidase E [EC:3.4.13.21],,"['Enzymes [BR:ko01000]', '             3. Hydrolases', '              3.4  Acting on peptide bonds (peptidases)', '               3.4.13  Dipeptidases', '                3.4.13.21  dipeptidase E', '                 K05995  pepE; dipeptidase E', '            Peptidases [BR:ko01002]', '             Serine Peptidases', '              Family S51', '               K05995  pepE; dipeptidase E']",16.11111111,47.88888889,36,38.11111111,33.44444444,28.44444444
ko:K01489,0.00214916,tetracycline,"['cdd, CDA']",cytidine deaminase [EC:3.5.4.5],"{'ko00240': 'Pyrimidine metabolism', 'ko00983': 'Drug metabolism - other enzymes', 'ko01100': 'Metabolic pathways'}","['KEGG Orthology (KO) [BR:ko00001]', '             Metabolism', '              Nucleotide metabolism', '               00240 Pyrimidine metabolism', '                K01489  cdd, CDA; cytidine deaminase', '              Xenobiotics biodegradation and metabolism', '               00983 Drug metabolism - other enzymes', '                K01489  cdd, CDA; cytidine deaminase', '            Enzymes [BR:ko01000]', '             3. Hydrolases', '              3.5  Acting on carbon-nitrogen bonds, other than peptide bonds', '               3.5.4  In cyclic amidines', '                3.5.4.5  cytidine deaminase', '                 K01489  cdd, CDA; cytidine deaminase']",70.33333333,22.88888889,6.777777778,87.33333333,10.11111111,2.555555556
ko:K00876,0.001990681,tetracycline,"['udk, UCK']",uridine kinase [EC:2.7.1.48],"{'ko00240': 'Pyrimidine metabolism', 'ko00983': 'Drug metabolism - other enzymes', 'ko01100': 'Metabolic pathways'}","['KEGG Orthology (KO) [BR:ko00001]', '             Metabolism', '              Nucleotide metabolism', '               00240 Pyrimidine metabolism', '                K00876  udk, UCK; uridine kinase', '              Xenobiotics biodegradation and metabolism', '               00983 Drug metabolism - other enzymes', '                K00876  udk, UCK; uridine kinase', '            Enzymes [BR:ko01000]', '             2. Transferases', '              2.7  Transferring phosphorus-containing groups', '               2.7.1  Phosphotransferases with an alcohol group as acceptor', '                2.7.1.48  uridine kinase', '                 K00876  udk, UCK; uridine kinase']",70.77777778,22.44444444,6.777777778,88.22222222,8.111111111,3.666666667
ko:K02203,0.001829847,tetracycline,['thrH'],phosphoserine / homoserine phosphotransferase [EC:3.1.3.3 2.7.1.39],"{'ko01230': 'Biosynthesis of amino acids', 'ko00680': 'Methane metabolism', 'ko01120': 'Microbial metabolism in diverse environments', 'ko01110': 'Biosynthesis of secondary metabolites', 'ko01130': 'Biosynthesis of antibiotics', 'ko00260': 'Glycine, serine and threonine metabolism', 'ko01100': 'Metabolic pathways'}","['KEGG Orthology (KO) [BR:ko00001]', '             Metabolism', '              Energy metabolism', '               00680 Methane metabolism', '                K02203  thrH; phosphoserine / homoserine phosphotransferase', '              Amino acid metabolism', '               00260 Glycine, serine and threonine metabolism', '                K02203  thrH; phosphoserine / homoserine phosphotransferase', '            KEGG modules [BR:ko00002]', '             Pathway module', '              Nucleotide and amino acid metabolism', '               Serine and threonine metabolism', '                M00018  Threonine biosynthesis, aspartate => homoserine => threonine', '                 K02203  thrH; phosphoserine / homoserine phosphotransferase', '            Enzymes [BR:ko01000]', '             2. Transferases', '              2.7  Transferring phosphorus-containing groups', '               2.7.1  Phosphotransferases with an alcohol group as acceptor', '                2.7.1.39  homoserine kinase', '                 K02203  thrH; phosphoserine / homoserine phosphotransferase', '             3. Hydrolases', '              3.1  Acting on ester bonds', '               3.1.3  Phosphoric-monoester hydrolases', '                3.1.3.3  phosphoserine phosphatase', '                 K02203  thrH; phosphoserine / homoserine phosphotransferase']",13.77777778,31.77777778,54.44444444,36.11111111,19.77777778,44.11111111
ko:K03572,0.001762025,tetracycline,['mutL'],DNA mismatch repair protein MutL,{'ko03430': 'Mismatch repair'},"['KEGG Orthology (KO) [BR:ko00001]', '             Genetic Information Processing', '              Replication and repair', '               03430 Mismatch repair', '                K03572  mutL; DNA mismatch repair protein MutL', '            DNA repair and recombination proteins [BR:ko03400]', '             Prokaryotic Type', '              SSBR (single strand breaks repair)', '               MMR (mismatch exicision repair)', '                Molecular matchmaker', '                 K03572  mutL; DNA mismatch repair protein MutL']",69.11111111,24.33333333,6.555555556,79.66666667,17.55555556,2.777777778
ko:K05878,0.001685218,tetracycline,['dhaK'],phosphoenolpyruvate---glycerone phosphotransferase subunit DhaK [EC:2.7.1.121],"{'ko00561': 'Glycerolipid metabolism', 'ko01100': 'Metabolic pathways'}","['KEGG Orthology (KO) [BR:ko00001]', '             Metabolism', '              Lipid metabolism', '               00561 Glycerolipid metabolism', '                K05878  dhaK; phosphoenolpyruvate---glycerone phosphotransferase subunit DhaK', '            Enzymes [BR:ko01000]', '             2. Transferases', '              2.7  Transferring phosphorus-containing groups', '               2.7.1  Phosphotransferases with an alcohol group as acceptor', '                2.7.1.121  phosphoenolpyruvate---glycerone phosphotransferase', '                 K05878  dhaK; phosphoenolpyruvate---glycerone phosphotransferase subunit DhaK']",5.444444444,37.11111111,57.44444444,4.111111111,24.55555556,71.33333333
ko:K06001,0.001582428,tetracycline,['trpB'],tryptophan synthase beta chain [EC:4.2.1.20],"{'ko01230': 'Biosynthesis of amino acids', 'ko00400': 'Phenylalanine, tyrosine and tryptophan biosynthesis', 'ko01110': 'Biosynthesis of secondary metabolites', 'ko01130': 'Biosynthesis of antibiotics', 'ko00260': 'Glycine, serine and threonine metabolism', 'ko01100': 'Metabolic pathways'}","['KEGG Orthology (KO) [BR:ko00001]', '             Metabolism', '              Amino acid metabolism', '               00260 Glycine, serine and threonine metabolism', '                K06001  trpB; tryptophan synthase beta chain', '               00400 Phenylalanine, tyrosine and tryptophan biosynthesis', '                K06001  trpB; tryptophan synthase beta chain', '            KEGG modules [BR:ko00002]', '             Pathway module', '              Nucleotide and amino acid metabolism', '               Aromatic amino acid metabolism', '                M00023  Tryptophan biosynthesis, chorismate => tryptophan', '                 K06001  trpB; tryptophan synthase beta chain', '            Enzymes [BR:ko01000]', '             4. Lyases', '              4.2  Carbon-oxygen lyases', '               4.2.1  Hydro-lyases', '                4.2.1.20  tryptophan synthase', '                 K06001  trpB; tryptophan synthase beta chain']",29.77777778,33.88888889,36.33333333,21.44444444,21.55555556,57
ko:K01546,0.001567769,tetracycline,['kdpA'],K+-transporting ATPase ATPase A chain [EC:3.6.3.12],{'ko02020': 'Two-component system'},"['KEGG Orthology (KO) [BR:ko00001]', '             Environmental Information Processing', '              Signal transduction', '               02020 Two-component system', '                K01546  kdpA; K+-transporting ATPase ATPase A chain', '            Enzymes [BR:ko01000]', '             3. Hydrolases', '              3.6  Acting on acid anhydrides', '               3.6.3  Acting on acid anhydrides to catalyse transmembrane movement of substances', '                3.6.3.12  K+-transporting ATPase', '                 K01546  kdpA; K+-transporting ATPase ATPase A chain']",26.55555556,37.55555556,35.88888889,17.11111111,25.55555556,57.33333333
ko:K00180,0.001531986,tetracycline,['iorB'],"indolepyruvate ferredoxin oxidoreductase, beta subunit [EC:1.2.7.8]",,"['Enzymes [BR:ko01000]', '             1. Oxidoreductases', '              1.2  Acting on the aldehyde or oxo group of donors', '               1.2.7  With an iron-sulfur protein as acceptor', '                1.2.7.8  indolepyruvate ferredoxin oxidoreductase', '                 K00180  iorB; indolepyruvate ferredoxin oxidoreductase, beta subunit']",27.22222222,36.55555556,36.22222222,18.55555556,26.33333333,55.11111111
