Genome_x,Genome_y,16S distance,label,pred,group,species_x,species_y,x_source,y_source
GCA_003478165.1,GCF_900078395.1,80.396038,0,0.9392,high predictions,Blautia sp. OF01-4LB,Anaerotruncus rubiinfantis,Human gut microbiome,Human gut microbiome
1520827.3,GCA_003478965.1,90.878826,0,0.9356,high predictions,Lachnospiraceae bacterium XBB1006,Clostridium sp. AF20-17LB,Unknown,Human gut microbiome
658665.3,GCA_003481805.1,90.532547,0,0.9718,high predictions,Dorea sp. D27,Lachnospiraceae bacterium OM02-26,Human gut microbiome,Human gut microbiome
GCA_001812065.1,GCA_003460585.1,75.016439,0,0.9506,high predictions,Actinomyces sp. HMSC072A03,Ruminococcus sp. AF32-2AC,Human pathogen/disease-associated,Human gut microbiome
GCA_003458565.1,GCA_003479375.1,91.551155,0,0.9854,high predictions,Bacteroides coprocola,Bacteroides sp. AF16-49,Human gut microbiome,Human gut microbiome
742732.3,GCA_002160275.1,83.509517,0,0.9566,high predictions,[Clostridium] bolteae,Pseudoflavonifractor sp. An187,Human gut microbiome,Animal-associated
1650661.3,GCA_003479935.1,81.08108,0,0.9428,high predictions,Clostridium phoceensis,Clostridium sp. AM45-5,Human gut microbiome,Human gut microbiome
471875.6,GCA_003478035.1,90.861273,0,0.9916,high predictions,Ruminococcus lactaris,Clostridium sp. OF03-18AA,Human gut microbiome,Human gut microbiome
1261640.4,GCA_003460585.1,80.252659,0,0.9472,high predictions,Eubacterium sp. 68-3-10,Ruminococcus sp. AF32-2AC,Animal-associated,Human gut microbiome
1841857.3,1903262.3,82.399476,0,0.9958,high predictions,Culturomica massiliensis,Bacteroides ndongoniae,Human pathogen/disease-associated,Human gut microbiome
999421.3,GCA_900104195.1,79.60133,0,0.9092,high predictions,Parabacteroides merdae,Cloacibacterium normanense,Human gut microbiome,Other
1203540.3,GCA_001059955.1,83.200532,0,0.9016,high predictions,Bifidobacterium breve,Corynebacterium striatum,Human pathogen/disease-associated,Human pathogen/disease-associated
